species,CPIC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Count of recap,Column Labels,,,,,,,,,,,,,,,
Row Labels,A,C,D,E,F,G,H,I,J,K,L,M,N,O,Grand Total,
1310,,,,,,1,,,,,,,,,1,
1320,,,,,,1,,,,,,,,,1,
1338,,,,,,,,,,,,1,,,1,
1340,,,,,,1,,,,,,,,,1,
1400,,,,,1,,,,,,,,,,1,
1401,,,,,1,,,,,,,,,,1,
1402,,,,,1,,,,,,,,,,1,
1404,,,,,1,,,,,,,,,,1,
1420,,,,,,,,,,,,,,1,1,
1500,,,,,,1,,,,,,,,,1,
1501,,,,,,1,,,,,,,,,1,
1502,,,,,,1,,,,,,,,,1,
1504,,,,,,1,,,,,,,,,1,
1540,,,,,,2,,,,,,,,,2,
1700,,,,,1,,,,,,,,,,1,
1701,,,,,,1,,,,,,,,,1,
1702,,,,,,2,,,,,,,,,2,
1703,,,,,,1,,,,,,,,,1,
1704,,,,,,1,,,,,,,,,1,
2000,,,,1,,,,,,,,,,,1,
2001,,,,,,1,,,,,,,,,1,
2002,,,,,1,,,,,,,,,,1,
2003,,,,,1,,,,,,,,,,1,
2004,,,,,1,,,,,,,,,,1,
2005,,,,,1,,,,,,,,,,1,
2006,,,,,1,,,,,,,,,,1,
2007,,,,,,,,,,,,,1,,1,
2010,,,,,1,,,,,,,,,,1,
2020,,,,,1,,,,,,,,,,1,
2021,,,,,,1,,,,,,,,,1,
2022,,,,,,2,,,,,,,,,2,
2024,,,,,,1,,,,,,,,,1,
2025,,,,,1,,,,,,,,,,1,
2030,,,,,1,,,,,,,,,,1,
2040,,,,,1,,,,,,,,,,1,
2060,,,,,1,,,,,,,,,,1,
2100,,,,,1,,,,,,,,,,1,
2101,,,,,1,,,,,,,,,,1,
2102,,,,,1,,,,,,,,,,1,
2112,,,,,1,,,,,,,,,,1,
2200,,,,,1,,,,,,,,,,1,
2202,,,,,2,,,,,,,,,,2,
2204,,,,,2,,,,,,,,,,2,
2220,,,,,2,,,,,,,,,,2,
2400,,,,,1,,,,,,,,,,1,
2401,,,,,1,,,,,,,,,,1,
2402,,,,,,2,,,,,,,,,2,
2404,,,,,,1,,,,,,,,,1,
2700,,,,,1,,,,,,,,,,1,
3000,,,,1,,,,,,,,,,,1,
3002,,,,,1,,,,,,,,,,1,
3004,,,,,1,,,,,,,,,,1,
3010,,,,,1,,,,,,,,,,1,
3020,,,,,1,,,,,,,,,,1,
3040,,,,,1,,,,,,,,,,1,
3100,,,,,1,,,,,,,,,,1,
3101,,,,,1,,,,,,,,,,1,
3200,,,,,1,,,,,,,,,,1,
